"case","p","q","sample_size","cov_scale","eta","stop_rule","stop_window","maxit","tol","frob_tol","iter","converged","hit_maxit","final_objective","final_truth_frob","minimax_rate_standard","ratio_standard","minimax_rate_covscale_adjusted","ratio_covscale_adjusted","window_rel_objective","window_rel_frob","eta_last","backtrack_total"
"objective_eta0.5_maxit500","30","25","500","0.2","0.5","objective","1","500","1e-06","0.001","500","FALSE","TRUE","0.301971646875567","12.148780410781","0.234520787991171","51.8025737285104","1.17260393995585","10.3605147457021","NA","NA","0.5","0"
"window_eta0.5_maxit1000","30","25","500","0.2","0.5","window","100","1000","3e-06","0.001","1000","FALSE","TRUE","0.173805406667018","8.12731841084347","0.234520787991171","34.6550021448395","1.17260393995585","6.93100042896789","0.000121255302823256","0.000816348026807968","0.5","0"
"window_eta0.5","30","25","500","0.2","0.5","window","100","5000","3e-06","0.001","3378","TRUE","FALSE","0.104900490689049","3.97201042513182","0.234520787991171","16.9367093602012","1.17260393995585","3.38734187204023","2.99807394380344e-06","0.000138084708600846","0.5","0"
"window_eta0.5_tol1e-5","30","25","500","0.2","0.5","window","100","5000","1e-05","0.001","2413","TRUE","FALSE","0.11054042655551","4.46777444137001","0.234520787991171","19.0506542283075","1.17260393995585","3.8101308456615","9.98710630545702e-06","0.000251034273198845","0.5","0"
"window_eta0.1","30","25","500","0.2","0.1","window","100","5000","3e-06","0.001","5000","FALSE","TRUE","0.173797996314111","8.12714554267652","0.234520787991171","34.6542650324989","1.17260393995585","6.93085300649978","2.23153689764427e-05","0.000157334735864219","0.1","0"
"window_eta0.25","30","25","500","0.2","0.25","window","100","5000","3e-06","0.001","5000","FALSE","TRUE","0.109698682412855","4.38854161887765","0.234520787991171","18.7128043380225","1.17260393995585","3.74256086760451","4.24407265662643e-06","0.000115864458056304","0.25","0"
"window_eta1","30","25","500","0.2","1","window","100","5000","3e-06","0.001","2060","TRUE","FALSE","0.103265477102927","3.91088544508124","0.234520787991171","16.676071569521","1.17260393995585","3.33521431390421","2.99871666076491e-06","0.000194884848812552","1","0"
"window_eta1.5","30","25","500","0.2","1.5","window","100","5000","3e-06","0.001","1540","TRUE","FALSE","0.102659283949555","3.92599843823529","0.234520787991171","16.7405135888555","1.17260393995585","3.34810271777109","2.99871029161821e-06","0.000238128409674621","1.5","0"
"window_eta2","30","25","500","0.2","2","window","100","5000","3e-06","0.001","1254","TRUE","FALSE","0.102398076072779","3.94517695613862","0.234520787991171","16.822291063968","1.17260393995585","3.36445821279361","2.98194296237511e-06","0.000458619401271486","2","42"
"window_eta4","30","25","500","0.2","4","window","100","5000","3e-06","0.001","1064","TRUE","FALSE","0.102245595790594","3.96090706114418","0.234520787991171","16.8893644570787","1.17260393995585","3.37787289141575","2.98504817509471e-06","0.000536172359951655","4","890"
